Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
A1BG,36.99315,2,45.16942,82.2258
A1CF,4.00000079,1.999999126,1.000000136,3.00000129
A2M,6.000009,2.999997,0,0
A2ML1,87.03987,8.008116,1719.99969,2434.17425
A4GALT,812.00014,148.99996,70,322
AAAS,399.99965,209.99981,165.9997113,596.0003813
AACS,746.10916,225.00848,491.23792,1173.86085
AADAT,39.0462967,18,5.99999987,27.3778401
AAED1,187.92337,46.2184,49.01478,197.80136
AAGAB,185.00046,149.00002,119,454
AAK1,412.05411,95.204506,262.54149,921.1347
AAMDC,71.01728,9,22.86384,29.02308
AAMP,859.00004,444.99991,308.99976,1174.9993
AANAT,4,1,1,2
AAR2,293.9998,111.99953,58.99998,485.6316
AARD,18.93169,9.011949,5,13.2752
AARS,710.99948,438.99958,136.00027,2486.00417
AARS2,175.02889,82,49,604.01943
AARSD1,134.65311,87.95669,89.00002664,418.026
AASDH,172.00001,41.999993,31.999958,148.999924
AASDHPPT,462.876,211.97603,54,563.68265
AASS,177.02422,38.03136,1,4.999999311
AATF,869.00026,327.99974,433.00014,1179.00152
AATK,35.000004,19.000044,1,32.72426
ABAT,18.19396,6,8.188708,27.62558
ABCA1,9,1,7,112
ABCA10,104.74746,13,11.000001,26.35128
ABCA11P,19.69793,0,1.33782,36.7476
ABCA12,1544.00088,161,334.0000002,2038.004
ABCA13,0,1,0,15.09173
ABCA2,1495.999909,332.0003371,348.9998395,1415.999097
ABCA3,29.99997673,8,7.999998,20.99998
ABCA4,0,0,0,0
ABCA5,97.783676,26.000011,37,131.1689
ABCA6,296.02632,71.45386,3.000921,14.99465
ABCA7,243.99985,76.32978365,105.0000025,331.00036
ABCA8,4.024545,2,2.45624,2.000001
ABCA9,30.64191,7.030966,3.0636,6.18219
ABCB1,0,0,0,1.999995
ABCB10,382.00047,191,109,497.00001
ABCB4,5,2.999999,1,2
ABCB6,324.653037,85.72644,119.0000207,227.38771
ABCB7,554.0005,139,130.99995,275.999951
ABCB8,242.9998522,192.9999741,227.99986,711.33207
ABCB9,92.52202657,7.000004,47.98720884,173.45776
ABCC1,944.0004,331.00006,384.99973,1598.9996
ABCC10,213.99988,126.025492,149.00051,715.19935
ABCC11,10.19672763,1,1,8.853884313
ABCC2,142.29608,99,153.003535,2013.99532
ABCC3,2542.02867,745.00036,224.9589743,1234.92831
ABCC4,190.00039,95,96.99997,451.00875
ABCC5,301.00009,148.999957,188.99961,1027.030591
ABCC6,6.19971,2,4,21.00654
ABCC8,0,0,0,1
ABCC9,20.3846,1.09656,3.36598,11.5327
ABCD1,193.0004,31.99997,22.99998,54.00001
ABCD3,406.1742,215.00039,188.00019,515.0001
ABCD4,315.405194,115.03622,69.25444,306.154385
ABCE1,1103.996463,584.14457,190.00045,1956.96359
ABCF1,540.00354,339.9995,104.23854,1356.29306
ABCF2,420.612,384.98547,322.99989,2241.3579
ABCF3,483.999602,144.00006,155.00007,1092.00028
ABCG1,117.07166,13,11,59.07669249
ABCG2,0,1,0,3.000004
ABCG4,0,0,0,2
ABHD1,8.18593,2,0,5.001774
ABHD10,206.99991,91.00003766,80.000038,368.00044
ABHD11,51.64014,34.00004,27.67482035,300.000195
ABHD12,226.00014,110.99996,283.00023,456.99966
ABHD12B,11.394584,0,15.40102,15.20906
ABHD13,65,46,14,179
ABHD14A,102.74302,40.72376,16.9043,49.42648
ABHD14B,556.99997,201.00034,253.00048,622.00003
ABHD15,35,36.7274,7.20991,231.024
ABHD16A,196.9999692,102.978943,109.9997767,376.0004991
ABHD17A,836.8447,299.99976,326.83605,905.87155
ABHD17B,88,32,76.7982,150.0005
ABHD17C,314.99987,110.99981,58.99995,395.9996695
ABHD18,170.7606929,38.2562,33.10258,103.15655
ABHD2,631.69046,191.15543,317.46828,836.88546
ABHD3,33.00004,27.999955,38.68999,110
ABHD4,242.00002,61.99996,296.99974,335.99993
ABHD5,203.00009,120,81,280.00019
ABHD6,41,46,15.56484,123.10145
ABHD8,157.48882,43.8307,49.37751986,96.64214
ABI1,876.9994239,186,439.000375,665.0002
ABI2,613.20916,154.555006,98.8793784,337.8711131
ABI3BP,7,3,11.000004,17
ABL1,1584.996,383.0004,661.9997291,1452.002
ABL2,1307.269493,182.9995,257.51324,1458.55245
ABLIM1,1832.83946,477.99991,1109.00084,6007.00013
ABLIM2,18.9999679,18,4.000000186,41.99996
ABLIM3,3211.99834,416.00022,104.00004,262.00043
ABO,35.0356,4,28,33.1107
ABR,1035.01708,259.99993,145.0000498,588.64121
ABRACL,195,135,285.00015,515
ABT1,221,115,33,400
ABTB1,240.9997,100.99993,84.99998,366.00051
ABTB2,46.9999556,10,18,78
ACAA1,407.02688,202.00032,144.1782402,495.3505103
ACAA2,943.4064,307.96198,196.0002,520.98026
ACACA,2836.996459,863.0001092,826.9995113,3687.00642
ACACB,195.8182414,27.00000861,12.99999562,22.466145
ACAD10,235.23208,57.00002402,125.03817,629.7445145
ACAD11,308.9698,69.36163,157.25486,380.6756493
ACAD8,140.99993,83.99993967,39.000024,161.76077
ACAD9,316.99985,173.00046,121.74863,869.9999
ACADL,1,1,0,2
ACADM,386.99992,158.00004,60.00001,529.620042
ACADS,54.99995,25,51,235.9995
ACADSB,198.297494,65.99996,68.26904,291.3108
ACADVL,3507.00467,897.0001517,2352.00059,5138.00358
ACAN,0,0,0,1.00018
ACAP1,29.999996,2.06348,5,35.11141
ACAP2,517.9996302,115.999583,280.99995,843.0003926
ACAP3,503.99969,150.11221,299.99963,887.42227
ACAT1,876.13632,387.05065,264.3649907,933.785924
ACAT2,1362.914,336.3792,259.184,410.9163
ACBD3,1075.47742,262.999519,553.572,934.3498
ACBD4,103.6063251,43.178206,11.99999228,158.99997
ACBD5,240.1581,61.99991996,182.1610698,249.10355
ACBD6,781.31723,304.3340931,276.02143,1244.1901
ACBD7,17.4981,1,1.04756,3.26754
ACCS,71.00003,34.0000165,9.999998,84.99994
ACD,218.00001,102.00002,93.00001,419.99972
ACE,1.00585,0,3.00064,7.61257
ACE2,2,0,0,2.999996
ACER2,10,4,77,246
ACER3,667.97661,82.95475,83.101698,182.3035
ACHE,1,0,0,8
ACIN1,2238.15298,663.60127,580.0127,2571.021914
ACKR2,10.13201,5,3,9
ACKR3,26.00002,1,4,13
ACKR4,1,0,0,2
ACLY,5447.998056,1466.00075,1715.99999,5125.27988
ACMSD,0,0,0,1
ACO1,651.99934,243.5607,307.9999424,1225.5623
ACO2,1246.0574,558.50903,601.95061,2159.35541
ACOT1,40.08566,21.3237,7.91346,30.1667
ACOT11,535.75939,127.94799,37.22843,242.57199
ACOT13,267.9155,118.1308,135.6477,511.4009
ACOT2,199.9145,92.6763,14.08656,72.83333
ACOT4,1,1,0,4
ACOT7,775.9995,377.9999,489.99881,1153.99276
ACOT8,166.16674,67.955292,74.94803,254.81694
ACOT9,461.26205,152.99999,86.01659,345.31236
ACOX1,288.135,88.11981,132.07946,576.5038
ACOX2,160.00029,45.99995972,1,5
ACOX3,224.99999,64.999976,16.000002,180.99995
ACOXL,0,0,2.465854,18.11887
ACP1,663.0811083,282.99997,426.99988,1064.93627
ACP2,84,67.99997,14.000002,118.73542
ACP5,7,1,8,9.00001
ACP6,238.712681,89.00003,43.00003,281.01239
ACP7,2.02899,1,2,16.7872
ACPP,7.999997,3,2,10.001332
ACPT,2,3,0,1
ACRBP,0,1,2.000004,2.999996
ACRV1,4,2.000004,0,2.000003
ACSBG1,5.5723,1.35686,1.37316,7.7867
ACSBG2,1,0,0,2
ACSF2,460.99966,142.00037,84.00002,313.00008
ACSF3,301.4426132,126.469481,101.3958974,522.7152811
ACSL1,3165.00294,947.9996,529.00009,1843.09092
ACSL3,2074.00272,698.000117,836.00021,2335.00089
ACSL4,2724.00069,562.99965,374.0000002,690.00041
ACSL5,34.00001,10,4,20.00000505
ACSL6,1.00957,2.9999988,4.00065,18.00012221
ACSM1,0,1,1,2
ACSM2A,9.588361,0,0.101124,11.4382
ACSM2B,12.411639,5,3.8994,13.56183
ACSM3,56.91146901,22.465318,13.617319,43.7023962
ACSM4,0,0,2,0
ACSM6,3,2,1,2.05596
ACSS1,7,4.999998,2,2.04601
ACSS2,2050.017648,372.99999,728.00008,876.0958541
ACSS3,1,1,0,1
ACTA1,0,0,1.0006,0
ACTA2,451.30341,63.96621,127.36591,210.46943
ACTB,23741.95781,12126.0096,6591.28002,27659.57327
ACTBL2,1,0,0,3
ACTG1,21293.98819,6668.0362,16524.74736,42703.41285
ACTG2,1.55552,1,0,1
ACTL10,14,21,1,46
ACTL6A,284.9997838,227.99996,174.99996,847.08826
ACTL8,0,4,0,0
ACTN1,5043.40218,1613.00517,928.4337613,6478.74558
ACTN2,1,0,0,0
ACTN3,2,0,0,0
ACTN4,5154.90197,1674.99984,3429.73913,12156.80217
ACTR10,297.024,116.00004,105.5528626,439.999937
ACTR1A,758.91142,471.01221,758.00019,2266.00255
ACTR1B,561.00043,187.9995,204.00014,738.00042
ACTR2,2382.952,810.0004,1035.98682,3450.83339
ACTR3,1598.00037,550,941.4549,2534.4757
ACTR3B,54.50068,33.17981,34.99997,165.48282
ACTR3C,13.25531,4.82792,5,18.05176
ACTR5,110,50,24,162
ACTR6,150.46446,54.00003677,68.99999,221.62784
ACTR8,256.00009,80.99995,36,186.00034
ACTRT3,15.8335,17,1,20.8731
ACVR1,129.9997,49.00001702,103.9999817,244.9997
ACVR1B,345.00041,81,137,438.00044
ACVR1C,5,2,8,7
ACVR2A,91.99996,21.15306,31.26891,93.554
ACVR2B,164.03395,30.00004,15.99996,159.10404
ACVRL1,1.00339,1,0,0
ACY1,365.280843,257.83525,183.750965,928.803793
ACY3,0,0,0,0
ACYP1,54.99998,26.00005,21.999998,60.62377
ACYP2,94.06406,35.03669,40.05844,129.85942
ADA,265.99998,95,271.99977,793.00011
ADAL,59.99991,28.999959,44.00001,149.9999
ADAM10,1465.301844,307.89592,314.73701,1126.50211
ADAM11,3,1,0,9.9999936
ADAM12,746.99972,44.99997,97.000056,130.00002
ADAM15,7742.842154,2058.999748,3438.69592,6383.76774
ADAM17,596.9009,109.14682,368.71488,1011.45685
ADAM19,433.9995647,26,63,143
ADAM21,15.8204,6,1,3.10849
ADAM22,2,0,10.00000002,12.999999
ADAM23,0,1,0,1
ADAM28,20.9999503,0,0,5.000002
ADAM29,0,2,0,0
ADAM32,92.28857,16.82465,16.4373,60.8846
ADAM33,0,0,0,1.0007
ADAM8,178.00031,35.999975,67.00002,88.00007
ADAM9,3619.99747,768.00009,890.00038,1693.00203
ADAMTS1,13.06079658,4,15.9999977,13.00003
ADAMTS10,0,0,0,0
ADAMTS12,49,4.000004,3.999996,10
ADAMTS13,17,3.99999624,2,42.00000124
ADAMTS14,7.000001,0,2.999998,8
ADAMTS15,8,3,3,10
ADAMTS16,1,2,2,4.27637
ADAMTS17,2,1,0,0
ADAMTS18,4.02425,0,0,0
ADAMTS2,2.064829,0,3,7.09965
ADAMTS3,5,2,0,0
ADAMTS4,13.4667,1.00562,3.060698,7.24988
ADAMTS6,44.00003582,5.9999984,1,7.000004
ADAMTS7,109.00006,48.00003,76,223
ADAMTS9,56,6.000000536,1,3
ADAMTSL1,1,0,1,0
ADAMTSL3,12.74083,6.38494,3.89186,6.87728
ADAMTSL4,503.9558,68.35658,241.5211662,1165.3093
ADAMTSL4-AS1,19.04454,2.64344,2.47936,37.6905
ADAMTSL5,73.000024,17.99999,17.00001,56.00002
ADAP1,174.0000749,60.94612,166.51931,385.99996
ADAP2,7.62963,3.230479,2.09592,7.02792
ADAR,2882.32048,1206.11695,805.00034,5380.38775
ADARB1,190.99996,73.13104686,33.09499,136.4943261
ADARB2,107.91515,10.000009,0,1.03937
ADAT1,63.23414,44,17,320.0091
ADAT2,170.00008,61.99996,56,487.1448
ADAT3,53.00002,23,8.19539,57
ADCK1,26,35.99997337,8,129.99978
ADCK2,344.0000041,115,213,690.9999782
ADCK5,48.99996,44,33.99999,311.00006
ADCY1,2,4,9,40
ADCY10,7.000000041,0,4.000000183,2
ADCY2,3.44812,0,1,3.00102
ADCY3,695.198673,425.6971,267.8194702,1935.027
ADCY4,0,0,0,0.999999724
ADCY5,2,1,0,7.148391
ADCY6,714.0334101,164.61513,152.23435,383.04141
ADCY7,458.1694025,89.00754713,21.62973019,218.128507
ADCY9,484.72108,130.999639,162.00003,528.57022
ADD1,1405.12176,514.092148,324.00001,1020.00139
ADD2,67.7619551,10.276799,7.411867,6.132891
ADD3,711.01766,113.99996,584.999875,1129.98483
ADGB,25.1412,1,7.4394,21.7664
ADGRA2,2.45845,1.25606,2.308656,8.96889
ADGRA3,729.72389,312.00014,165.00013,1355.31332
ADGRB1,1,2,1,11
ADGRB2,21.99995847,15.99998,18.00002,76.99998
ADGRD1,0,0,1,6.00051
ADGRD2,1.17267,0,1,6.35731
ADGRE2,226.90956,18.93754353,27.44691685,111.5301401
ADGRF1,64.67705,17.021884,30.10650796,132.394917
ADGRF2,3.35752,0,0,1
ADGRF3,0,0,1,13.06326
ADGRF4,44,3,13,93
ADGRF5,1,0,2,0
ADGRG1,405.9997772,110.99991,419.9985361,1978.999684
ADGRG2,63.29653,20.00001,12.00001505,17.00610202
ADGRG3,7,0,1,2
ADGRG6,1146.99953,243.99958,357.9994657,1474.00049
ADGRL1,219.0490914,132.00024,233.00034,877.05815
ADGRL2,250.0004,103.9999509,9.000002,43.812657
ADGRL3,8,4.999997772,0,3
ADGRV1,11.15402,4.03098,0,6.01242
ADH1B,7.044109,21.000026,0,1
ADH4,4.382708971,0,1.000000311,1.776056733
ADH5,1359.1623,586.9996035,384.15842,1621.02815
ADH6,6,2,0,6
ADHFE1,17.000004,0,2,10.90188
ADI1,964.4997,433.0282,369.2096,950.242
ADIPOQ,2.057319484,2.000004887,1.247065542,1.38684666
ADIPOR1,3076.999409,969.99953,1446.00147,2212.00036
ADIPOR2,1308.31963,367,648,1295.0044
ADIRF,1278.8827,430.49902,1561.2297,3756.8375
ADK,724.00036,281.00019,553.00009,1295.43042
ADM,584.9996,29,5059.9997,189.99998
ADM2,29.0196,0,3,74.99997
ADM5,25.2229,7,11.3938,17.2145
ADNP,1726.71927,343.999786,410.0005,2004.0008
ADNP2,307,111.99967,72,425.00047
ADO,284,106,23.5991,741
ADORA1,15.00000043,17.00003,0,0
ADORA2A,11.000003,1,3,1
ADORA2A-AS1,2,4,1,1
ADORA2B,208.0002,108,66.99999,344.00015
ADPGK,458.73448,220.253734,80.97344,489.99931
ADPRH,0,0,3,25.9999862
ADPRHL1,31.053891,5.0000003,193.00004,36.000018
ADPRHL2,246,71,63,325
ADPRM,71.99998,18.99998,62.99999819,127
ADRA1A,1,0,0,1.04396
ADRA1B,6,2,10,15
ADRA1D,1,0,0,0
ADRA2B,1,0,0,0
ADRA2C,1,0,1,2
ADRB1,6.05109,2,4,7
ADRB2,161,48,14,176
ADRM1,638.37035,394.49936,500.83955,1951.21547
ADSL,824.87633,361.337828,239.84684,807.3735062
ADSS,1108.0018,543,181.97,1450.99531
ADSSL1,1654.33006,7,1202.99987,370.02577
ADTRP,56.00002381,9.000006,5,28.99997
AEBP1,1,1,0,2
AEBP2,361.04811,66.24847,114.7802,412.74258
AEN,97,105.00003,36.00004,441.00045
AES,3498.41695,991.00003,1577.87927,3289.3916
AFAP1,1562.19568,188.9145,436.93,711.8964604
AFAP1L1,323.9996,49.00008,161.9997,269.9999
AFAP1L2,75.00006,14,33.00002,164.99996
AFDN,1259.99923,265.9997,883.0002415,2079.998894
AFDN-AS1,13.0251,0,12,6.01463
AFF1,1177.00272,230.00033,288.99998,767.0003
AFF2,0,0,0,2
AFF3,0,0,1,5.648396
AFF4,2775.0015,487.000468,490.99958,1782.00084
AFG3L2,701.8102,366.01994,245.56924,1132.2407
AFMID,188.63545,60.57106,75.19470003,242.50609
AFTPH,286.0002,93.99993,144,437.0001
AGA,100.000079,34.99997,37.00003,91.99997
AGAP1,704.0002751,158.0000704,283.00004,548.9995252
AGAP11,24.0576,2.27704,12.4238,61.1272
AGAP2,11.20021,4.04353,0,12.34292
AGAP3,683.99962,315.99963,483.999458,1659.999714
AGAP4,86.23689,15.1282,22.621822,107.06677
AGAP5,48.11599,10.76087273,8.30189,98.10462
AGAP6,56.3507017,32.46095,18.04563236,244.4373
AGAP7P,0,0,0,7.66284
AGAP9,91.272,23.9471,28.9764,156.234
AGBL1,4.00015,1,1,2.0002
AGBL2,6.24548,0,3,5.41557
AGBL3,11.00001,3,3,11.99999
AGBL4,0,0,0,0
AGBL5,360.37679,100.0637,228.17486,483.08225
AGER,78.00001,10.00001,27.99997,31.99999
AGFG1,1106.0001,324.00006,345.99962,963.9999
AGFG2,331.09929,78.0001,27,273.16901
AGGF1,391.00039,147.99975,48,531.000087
AGK,273.9995,107.9999,162,718.99982
AGL,358.0000448,89,71.99995206,352.9996706
AGMAT,0,0,1.04655,5.02586
AGMO,2,0,1,0
AGO1,490.1893,141,93.00004,662.2322
AGO2,824.00024,331.51332,355.6813931,1868.996169
AGO3,324.26346,96.57139,84.2442,286.51722
AGO4,196.999685,57.0833411,90.99999,227.02813
AGPAT1,790.3796,293.36552,459.47547,1170.29933
AGPAT2,571.0004,143.9999,441.0002,649.0003
AGPAT3,1134.342168,446.0270871,155.140054,969.6050762
AGPAT4,275.99961,59.99999,59.00003,178.9995
AGPAT4-IT1,25.7834,8,1,13
AGPAT5,373.00018,173.0000027,75.99996464,696.9996
AGPS,439.9997,220.9998,278,1438.18637
AGR2,8,1.999998,2,4
AGRN,7958.6088,1668.94509,2247.59113,6768.01026
AGRP,1,0,0,0
AGT,1,0,1,13
AGTPBP1,227.9998094,60.999956,47,252.99996
AGTRAP,690.00005,285.00043,369.9999835,1203.00025
AHCTF1,1672.53448,635.8240404,240.0776335,2474.88165
AHCY,3100.99704,1335.90503,3380.94433,7887.8353
AHCYL1,1616.99896,491.99955,442.9996,1639.99803
AHCYL2,280.00009,58,134.99953,379.66425
AHDC1,630.31558,116,875.99981,915.9997
AHI1,222.9999874,52.4982,69.00002235,256.0003488
AHNAK,36673.00791,3642.00294,6959.99877,14116.95647
AHNAK2,10934.9388,1013,1681.0002,10505.84811
AHR,279.03939,142,227.20903,2015.18027
AHRR,7.05907,2.999997,2,8.014043
AHSA1,535.01094,420.00027,250.00038,1508.02011
AHSA2,706.82738,193.32072,186.5512,797.3283
AICDA,2.00036,1.00642,2.00092,2
AIDA,2749.69579,524.9943,701.120344,1300.91644
AIF1L,101.0001098,45.99994801,2.99999506,9.999997
AIFM1,215.999823,196,143.1400594,523.66474
AIFM2,224.39971,85.00000501,101.99995,343.90726
AIFM3,4.000000062,0,5.999997,23.999977
AIG1,787.00262,205.00011,394.67887,975.98186
AIM1,1845.03617,582.00029,155.00015,2536.92229
AIM1L,62.00008,10.000011,166.0003214,413.00006
AIMP1,369.6351,181.1903,151.9999836,556.6843
AIMP2,132.19873,154.77512,58.99837,582.8217
AIP,617.99999,184.00044,245.0005,407.99998
AIPL1,56.9097,30,2.00629,51.3408
AJAP1,2,0,17.01077,95.0765
AJUBA,1217.97494,335.99976,640.99939,2727.00372
AK1,745.0559,198.1626,359.23163,892.0869
AK2,1297.15939,674.65754,905.00079,3070.21341
AK3,970.0396,294.24978,1551.6651,3608.0034
AK4,1713.77264,413.50328,1103.9091,1362.3094
AK5,3.85786,0,1,2
AK6,145.56039,61.67599,60.48801,194.9971
AK7,21.00429,0,2,6.01806
AK8,4,0,1,16.309545
AK9,59.944519,4,19.05748,44.03526
AKAP1,617.99995,279.00032,70.000037,1427.99597
AKAP10,344.0003433,107.000078,258.99973,356.0002999
AKAP11,686,159,178,966
AKAP12,550.0000004,68.02730032,9.06538,22.00002023
AKAP13,1379.959179,241.0003356,250.2406507,842.116442
AKAP17A,729.9996,233.9999,204,469.0003
AKAP2,1022.86673,237.008,106.93781,1298.1638
AKAP3,1,2,1.00000018,9.00000268
AKAP5,7.08898,5,3.39788,7.48711
AKAP6,26.53103,15,6,48.55569
AKAP7,31.00003,18,20.9999668,65
AKAP8,386.00002,128.00021,97.99996,420.00051
AKAP8L,516.19194,172.69059,256.04849,927.60564
AKAP9,1230.56318,165.0003274,222.0191146,1138.12959
AKIP1,143.9999518,79.99989,64.99997,206.87327
AKIRIN1,263.0616001,128.0002,189.92277,760.9998
AKIRIN2,367.99975,112,215.9999,636.0004
AKNA,181.87665,44.999943,48.999984,244.13837
AKNAD1,14.031298,5.08897,3,16
AKR1A1,651.24192,195.00006,385.00029,1442.717747
AKR1B1,2980.914856,1186.00486,806.99977,1880.026182
AKR1B10,7.08952,15.89337,19,386.67956
AKR1B15,14.1381,3.10663,8,19.07493
AKR1C1,785.37331,385.28861,168.94826,467.76235
AKR1C2,446.5055,463.6387,132.14708,861.80054
AKR1C3,643.12118,291.072188,139.90464,545.43726
AKR1D1,0,1,0,1.16257
AKR1E2,1,0,4,40.00001
AKR7A2,528.99958,187.99966,439.98539,775.96006
AKR7A3,13.2685,1,6.01031,21.0401
AKR7L,8.990621,3,4.00438,0.365611
AKT1,1945.008787,688.0003935,979.0443755,2360.00445
AKT1S1,930.39011,353.8834,401.43574,1576.83112
AKT2,1347.86058,509.0001865,536.999851,2172.05413
AKT3,776.14237,190.74742,46.5525,39.5529739
AKTIP,125.82631,52.9681,27.2314,122.4569206
ALAD,202.00007,84.00003,114.00001,282.88343
ALAS1,202.99984,77.00010015,49.99999,329.9997
ALCAM,2757.99711,507.00028,2152.99511,6599.99688
ALDH16A1,218.8726004,187.51578,139.0000202,446.4808
ALDH18A1,789.0001012,381.0004,465.9999,1710.99733
ALDH1A1,0,0,0,0
ALDH1A2,1,0,1,7
ALDH1A3,869.88186,188.488645,289.867917,1308.57011
ALDH1B1,338.11129,199.28514,15.6144,820.18302
ALDH1L1,13.0257343,3,4.045817249,10.00093308
ALDH1L2,885.46333,233.2974,63.1043,401.54024
ALDH2,30.53545,7.30367,20.2095,33.752004
ALDH3A1,135,243.99999,21.99997663,267.99997
ALDH3A2,1219.47892,753.0003,325.2380837,2647.624611
ALDH3B1,885.52917,211.57395,116.0000802,484.99994
ALDH3B2,12.999999,1,29,108.999499
ALDH4A1,47.99997,36.99998,92.00006,373.4013796
ALDH5A1,60.5606183,38.1570734,4.018753,31.20231
ALDH6A1,326.38094,39.64031,19.887777,126.0078
ALDH7A1,1266.020255,472.4617171,448.9999333,887.2987345
ALDH8A1,20,0,1,1
ALDH9A1,816.99964,314,279.99962,716
ALDOA,35309.98439,4393.99984,24365.00136,15102.00785
ALDOC,3035.00854,85.75061,3222.00002,561.00073
ALG1,190.10452,137.70827,47.83086,389.5119
ALG10,33.27895,12.0000443,11,58.63965
ALG10B,119.65701,34,57.0000373,225.54755
ALG11,61.15142,30.98286,34.34802,137.27699
ALG12,227.6338,94.892624,42.54754,221.72734
ALG13,268.99967,63.00000383,59.99993781,236.9999638
ALG14,128.69049,66.24676,25.16099,66.61716
ALG1L,0,0,1,0
ALG1L2,4,2,0,2
ALG2,231.9999,112,47.99998,390.9997
ALG3,395.99985,265.99992,235.99958,1089.00017
ALG5,224.99982,88,88.00004,396.99951
ALG6,61.99996,38.99997,24.00004,193.9996805
ALG8,273.00029,176.00008,65.71108,244.999595
ALG9,308.77786,93.49227,157.15875,314.86141
ALK,0,2,0,1
ALKAL2,3,0,1,1
ALKBH1,96.00005,28,50.99997,161.99966
ALKBH2,187.99991,110.99999,25.999961,260.00007
ALKBH3,169.99974,51.99999,36.00002,241.99996
ALKBH4,119.5216,34.99996,18.88784,188.754
ALKBH5,1272.87915,234,1155.5644,1087.34869
ALKBH6,131.15872,41.999982,45.999988,111.246151
ALKBH7,364.0003,140.0001,316.0002,555.0004
ALKBH8,62.000007,22.999959,4,90.00004
ALMS1,126.42389,58.0000496,54.99995,301
ALOX12,16,4,4.286833,37.6579081
ALOX12B,1,0,2.73798,8.232085
ALOX15,1,0,0,0
ALOX15B,2772.974,324.0001,108.99997,307.9421
ALOX5,0,0,14.0000108,41
ALOX5AP,23,3,1,2
ALOXE3,80,5.000000034,9,45
ALPK1,278.203516,49.99996,49.0000461,242.27833
ALPK2,1,0,0,2
ALPK3,1.999995,0,1,2
ALPL,0,0,1,2
ALPP,16.925615,5.000002,33.00001,152.47488
ALS2,267.03701,96.00002,73.00003,331.00051
ALS2CL,1576.63021,310.99949,403.00001,2386.00056
ALS2CR11,4,0,0,0
ALS2CR12,0,0,0,1.999998
ALX4,3,0,0,3
ALYREF,233.99983,256.99991,243.00039,762.99991
AMACR,149.48294,44.99999364,38,124
AMBRA1,332.00061,110.99996,113.999991,376.99971
AMD1,527.23915,325.14006,79.00830616,1129.9904
AMDHD1,7.64859,3.69277,3.79329,8.710288
AMDHD2,98.63096083,43.00001,25.341268,207.06825
AMER1,55.3131,21,5,206.061
AMER2,2,1.00157,1.01787,5
AMFR,923.87013,242.000123,589.98472,1341.844047
AMH,58,16,14.99997,35
AMIGO1,1,8,1,5
AMIGO2,212.2849,66.00005,11.2312,428.5253
AMIGO3,0,10.5803,7,0
AMMECR1,341.9996,104,102.00002,459.00039
AMMECR1L,324.0000003,119,125.0000001,562.1016
AMN,1,0,2,3.000004
AMN1,37.15196,4,15,55.76433
AMOT,3,0,1,2.000005
AMOTL1,1670.9997,438.9998,985.9995,2373.154
AMOTL2,555.0003053,269.0002,345.80595,1749.99925
AMPD2,613.999454,212.7572815,126.9726104,523.0136269
AMPD3,106.1707306,24.00001,20.99999,132.03056
AMPH,7,1,1,2
AMT,27.41677,8.30533,9.770943704,15.03722
AMY2B,47.07423,7.225080447,11.61591,30.871429
AMZ1,7,0,0,2.00175
AMZ2,694.834482,205.66895,366.3729964,1416.70088
ANAPC1,831.03744,341.78047,227.23446,1587.69438
ANAPC10,80.62015,42.99995,24.99997,86.95053
ANAPC11,560.99951,236.999959,399.99914,739.00111
ANAPC13,206.57681,126.64617,107.99996,697.59082
ANAPC15,188.8420301,119.743503,90.00008,191.70284
ANAPC16,834.8441,203.162,581.8835,1263.3777
ANAPC2,263.00054,153.00005,94.99995,476.99997
ANAPC4,170.99967,92.00007,33.00001,261.99958
ANAPC5,1079.99511,520.000184,511.03368,1873.39857
ANAPC7,272.51025,167,102.92048,771.2521
ANG,135.5287,9.42197,173.39471,26.77886
ANGEL1,204.42938,106.00037,68.00001,728.83452
ANGEL2,411.3007165,177.32317,29.3763109,521.77596
ANGPT1,75.00002,20.00000553,4.00000268,38.00005065
ANGPT2,10.16859,0,1.02624,3.01991
ANGPT4,4.00048,1,0,2.00062
ANGPTL4,19952.97423,460.9999,2049.07382,146
ANGPTL6,0,0,0,2.38407
ANGPTL8,1,0,1,1
ANK1,8.999998,9.00000055,15.000036,81
ANK2,55.999955,32.000022,1,43.99999742
ANK3,302.21304,107.21724,49.00002533,458.3817
ANKAR,47.00004,5,14,29.00003
ANKDD1A,12.31178,4.22044,2.12663,7.29079
ANKDD1B,0,0,7.00001,8
ANKEF1,89.6929,38,16,266.8547
ANKFN1,0,1,2,2.000003
ANKFY1,565.51325,277.4873,152.11816,1355.137156
ANKH,703.13891,181.000247,208.09582,903.99991
ANKHD1,1317.754984,476.6192405,467.798991,1562.7285
ANKIB1,814.00034,146.0004477,236.99979,969.99959
ANKK1,14.0107,2,1,7
ANKLE1,6.79069,4.34412,6.21986,1.13885
ANKLE2,1341.76046,374.51046,388.9376,1376.61453
ANKMY1,102.150089,29.24504,6.143968,190.2867763
ANKMY2,180.99966,43.00003,44,139.0003
ANKRA2,216.78132,42.000056,43.91215,206.51504
ANKRD1,0,0,0,2.32282
ANKRD10,586.99955,203.00002,302.00046,568.99974
ANKRD11,1521.66881,489.82425,928.48796,3406.048106
ANKRD12,836.13891,77.99996,243.05986,643.2914
